DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
04-Feb-2026,EQ,"265.00","269.90","263.95","263.90","267.85","268.00","267.63","338.60","198.65",14556924,"3,89,58,25,841.30",112454
03-Feb-2026,EQ,"260.05","267.00","256.95","244.10","264.00","263.90","262.67","338.60","198.65",40223294,"10,56,53,26,503.90",267213
02-Feb-2026,EQ,"242.40","245.30","237.00","242.30","245.15","244.10","241.15","338.60","198.65",17248818,"4,15,96,35,315.70",145257
01-Feb-2026,EQ,"253.60","255.25","238.40","254.50","242.40","242.30","247.41","338.60","198.65",13896954,"3,43,81,82,828.20",138189
30-Jan-2026,EQ,"253.00","257.60","249.55","254.50","254.00","254.50","254.12","338.60","198.65",13448707,"3,41,76,46,480.00",99666
29-Jan-2026,EQ,"255.80","256.85","252.45","255.20","254.50","254.50","254.44","338.60","198.65",12165356,"3,09,54,02,626.15",77333
28-Jan-2026,EQ,"257.85","258.40","253.00","256.05","256.05","255.20","255.25","338.60","198.65",19034680,"4,85,85,35,550.70",143920
27-Jan-2026,EQ,"253.80","257.50","250.20","252.90","257.15","256.05","253.49","338.60","198.65",14773866,"3,74,49,77,782.35",128221
23-Jan-2026,EQ,"264.00","266.25","252.25","262.60","253.20","252.90","257.14","338.60","198.65",14857605,"3,82,05,36,420.75",129766
22-Jan-2026,EQ,"267.00","268.15","259.75","263.25","263.60","262.60","263.81","338.60","198.65",12282969,"3,24,03,97,589.40",106281
21-Jan-2026,EQ,"265.30","269.20","262.50","265.50","263.50","263.25","265.04","338.60","198.65",19266179,"5,10,63,16,451.90",140840
20-Jan-2026,EQ,"275.10","276.45","263.20","275.65","265.40","265.50","269.72","338.60","198.65",18750739,"5,05,75,25,773.45",165457
19-Jan-2026,EQ,"279.40","281.65","274.10","278.80","274.90","275.65","277.43","338.60","198.65",13006403,"3,60,83,70,267.25",114924
16-Jan-2026,EQ,"287.00","291.00","277.15","287.00","277.95","278.80","283.32","338.60","198.65",18934861,"5,36,46,88,182.05",158044
14-Jan-2026,EQ,"281.95","287.85","281.85","284.60","287.30","287.00","286.23","338.60","198.65",6701056,"1,91,80,50,382.70",60453
13-Jan-2026,EQ,"289.10","290.20","281.90","288.25","284.15","284.60","284.72","338.60","198.65",12956779,"3,68,91,05,023.50",86292
12-Jan-2026,EQ,"287.25","289.00","280.75","287.25","288.45","288.25","285.00","338.60","198.65",12216471,"3,48,17,14,077.15",141787
09-Jan-2026,EQ,"292.00","294.60","286.15","293.55","287.55","287.25","290.17","338.60","198.65",11375541,"3,30,08,04,923.35",115936
08-Jan-2026,EQ,"303.30","304.30","292.15","303.50","292.65","293.55","296.41","338.60","198.65",12255998,"3,63,28,37,848.80",95213
07-Jan-2026,EQ,"298.00","306.00","296.65","298.55","303.70","303.50","303.33","338.60","198.65",20416851,"6,19,29,96,946.75",132871
06-Jan-2026,EQ,"300.10","302.30","293.50","300.40","298.55","298.55","297.67","338.60","198.65",10930694,"3,25,37,85,372.20",86870
05-Jan-2026,EQ,"301.80","302.45","298.85","301.70","300.05","300.40","300.41","338.60","198.65",6971528,"2,09,43,27,319.20",65647
02-Jan-2026,EQ,"295.60","303.00","295.50","295.70","301.85","301.70","300.89","338.60","198.65",10604978,"3,19,09,51,745.95",75384
01-Jan-2026,EQ,"295.40","296.75","294.15","294.95","295.60","295.70","295.60","338.60","198.65",3697802,"1,09,30,62,792.15",36567
31-Dec-2025,EQ,"292.60","296.90","292.60","292.50","295.00","294.95","295.07","338.60","198.65",6540400,"1,92,98,76,008.45",44672
30-Dec-2025,EQ,"293.00","293.85","291.40","293.95","293.20","292.50","292.48","338.60","198.65",6850674,"2,00,36,95,857.10",81969
29-Dec-2025,EQ,"297.00","297.55","293.35","296.95","293.80","293.95","294.76","338.60","198.65",4713140,"1,38,92,51,662.35",59254
26-Dec-2025,EQ,"298.00","299.80","296.15","298.90","297.20","296.95","298.18","338.60","198.65",3945249,"1,17,63,91,858.85",46258
24-Dec-2025,EQ,"298.70","302.60","298.05","298.70","298.70","298.90","300.38","338.60","198.65",6548391,"1,96,70,12,160.65",54924
23-Dec-2025,EQ,"299.55","299.75","297.70","298.75","298.50","298.70","298.97","338.60","198.65",5346120,"1,59,83,09,768.00",57285
22-Dec-2025,EQ,"298.00","299.95","297.90","296.95","299.20","298.75","299.14","338.60","198.65",5136735,"1,53,65,98,738.75",55939
19-Dec-2025,EQ,"294.10","297.80","293.35","292.30","297.15","296.95","296.32","342.45","198.65",8767177,"2,59,79,31,707.40",60719
18-Dec-2025,EQ,"292.70","293.55","289.75","293.15","292.35","292.30","292.04","342.45","198.65",6478984,"1,89,21,23,269.60",62610
17-Dec-2025,EQ,"295.00","296.00","291.70","295.25","293.00","293.15","293.46","342.45","198.65",5906902,"1,73,34,38,737.30",68598
16-Dec-2025,EQ,"298.05","298.75","294.50","299.60","294.70","295.25","295.69","342.45","198.65",7141463,"2,11,16,41,572.25",86391
15-Dec-2025,EQ,"299.00","300.40","297.55","300.75","299.65","299.60","299.11","342.45","198.65",4850351,"1,45,07,68,930.45",64867
12-Dec-2025,EQ,"300.00","302.40","298.75","298.45","300.70","300.75","300.66","346.30","198.65",7955711,"2,39,19,77,178.05",54776
11-Dec-2025,EQ,"291.00","299.00","290.00","290.85","298.50","298.45","295.61","346.30","198.65",9589482,"2,83,47,21,763.65",64711
10-Dec-2025,EQ,"294.00","295.40","289.25","293.20","290.70","290.85","292.15","346.30","198.65",8655536,"2,52,86,80,534.85",96686
09-Dec-2025,EQ,"296.15","296.80","288.75","297.20","293.55","293.20","293.37","346.30","198.65",13376328,"3,92,41,59,511.85",116057
08-Dec-2025,EQ,"303.00","304.25","295.25","303.75","296.15","297.20","298.13","346.30","198.65",12432114,"3,70,64,04,531.60",96169
05-Dec-2025,EQ,"302.00","304.45","300.25","302.25","303.85","303.75","302.70","347.35","198.65",6506083,"1,96,93,91,878.40",53738
04-Dec-2025,EQ,"301.00","303.45","300.00","301.00","301.60","302.25","301.90","347.35","198.65",5601692,"1,69,11,58,336.55",49492
03-Dec-2025,EQ,"305.00","305.70","298.45","304.85","301.65","301.00","300.91","347.35","198.65",8408528,"2,53,01,69,097.95",74438
02-Dec-2025,EQ,"303.00","307.00","303.00","304.75","305.25","304.85","305.53","347.35","198.65",8589532,"2,62,43,73,741.75",63544
01-Dec-2025,EQ,"307.10","308.15","303.55","306.20","305.05","304.75","305.62","347.35","198.65",6225454,"1,90,26,24,538.40",70378
28-Nov-2025,EQ,"306.15","308.00","305.50","306.45","306.35","306.20","306.53","347.35","198.65",5488672,"1,68,24,21,832.65",55075
27-Nov-2025,EQ,"309.00","309.80","305.00","308.00","306.45","306.45","307.25","347.35","198.65",5565162,"1,70,98,75,075.20",59698
26-Nov-2025,EQ,"301.50","308.65","301.50","300.80","308.00","308.00","306.31","347.35","198.65",8885249,"2,72,16,60,925.75",72445
25-Nov-2025,EQ,"299.75","303.40","299.60","299.85","301.10","300.80","301.60","347.35","198.65",7131282,"2,15,07,79,167.25",67947
24-Nov-2025,EQ,"303.30","304.35","299.10","303.55","300.20","299.85","300.96","347.35","198.65",12349069,"3,71,65,22,459.75",80969
21-Nov-2025,EQ,"307.00","308.35","303.00","308.35","303.90","303.55","305.30","347.35","198.65",5973657,"1,82,37,59,550.75",63229
20-Nov-2025,EQ,"305.60","309.60","305.20","304.45","308.80","308.35","307.90","347.35","198.65",7784069,"2,39,67,20,550.25",69246
19-Nov-2025,EQ,"305.85","306.40","303.60","305.95","304.65","304.45","304.72","347.35","198.65",5882303,"1,79,24,43,197.30",63649
